ID,TargetLogLoss,TargetRAUC
ID_ED91AC7A28,1,1
ID_29975A9C7E,1,1
ID_F59CE25650,1,1
ID_E875F68D1A,1,1
ID_2902B1C0D0,1,1
ID_8C3311150A,1,1
ID_E7E3D1F707,1,1
ID_0883F8130C,1,1
ID_E6D3162C31,1,1
ID_0E8F96135D,1,1
ID_A1CCA8B42F,1,1
ID_73C5D07F71,1,1
ID_FD558F6981,1,1
ID_4CBE0C3ED4,1,1
ID_DA7937D406,1,1
ID_5C5E622827,1,1
ID_B443191D19,1,1
ID_C677C4339F,1,1
ID_7030A34902,1,1
ID_383118FB7C,1,1
ID_78642510AF,1,1
ID_133E1C78F8,1,1
ID_E499CE39F8,1,1
ID_5F35203464,1,1
ID_88FCEA0F1E,1,1
ID_F02AEB66C3,1,1
ID_6DDC595C39,1,1
ID_5140ED1C47,1,1
ID_A1CF053F7A,1,1
ID_B2338E13D4,1,1
ID_5E4FEFC8CE,1,1
ID_C8FFF95929,1,1
ID_2980745F43,1,1
ID_61CD72F6CE,1,1
ID_F010EF7A8A,1,1
ID_715BE137A6,1,1
ID_0177953F20,1,1
ID_42F7F2CE0F,1,1
ID_BAD7D54489,1,1
ID_4469CD3953,1,1
ID_4D18EE25F6,1,1
ID_54F726CC26,1,1
ID_76FFCF186A,1,1
ID_843D804F8C,1,1
ID_BB84B1EE82,1,1
ID_5BF679D81C,1,1
ID_15508CE449,1,1
ID_8D9F2F7ACC,1,1
ID_27B963FB0B,1,1
ID_D8A0C7E8F0,1,1
ID_94D06A1758,1,1
ID_5356F4FFFE,1,1
ID_66C8E9A655,1,1
ID_DA216AD1EE,1,1
ID_161B2E5C48,1,1
ID_810E109705,1,1
ID_0B25D90862,1,1
ID_5DFBD5885C,1,1
ID_A1EDC813CA,1,1
ID_BC28FF4AAC,1,1
ID_0612AB3FC8,1,1
ID_4FDAF4B6B2,1,1
ID_F5F2B40225,1,1
ID_B3944EA4A3,1,1
ID_B0C729F568,1,1
ID_2C527E3FD9,1,1
ID_02B554B1DC,1,1
ID_53029D4C63,1,1
ID_D74B51178D,1,1
ID_CF15ABFA69,1,1
ID_9453C6900E,1,1
ID_09B7701406,1,1
ID_98820A4FD2,1,1
ID_9AE57AECF7,1,1
ID_060438A1F9,1,1
ID_CC328499E0,1,1
ID_4EAFEA1700,1,1
ID_7A19F1A76D,1,1
ID_90ADBE8D44,1,1
ID_7A4A4B6116,1,1
ID_21E3195C83,1,1
ID_BA507E2751,1,1
ID_B911E5C8BD,1,1
ID_E541DD22C2,1,1
ID_7326C068A9,1,1
ID_82FB85B65C,1,1
ID_83550B0F44,1,1
ID_828206AAAF,1,1
ID_338365D4FF,1,1
ID_CB565D8E46,1,1
ID_810711A3B8,1,1
ID_780636EE11,1,1
ID_9394F8D191,1,1
ID_C3716DB5AA,1,1
ID_D30ACD86D5,1,1
ID_FBF0F75EF5,1,1
ID_B8875E9981,1,1
ID_A477311ABA,1,1
ID_ABD047D25C,1,1
ID_A641EFA0D7,1,1
ID_2896538B2A,1,1
ID_53FB896932,1,1
ID_B1F8C2732A,1,1
ID_B9D27E11E5,1,1
ID_2A8D7A4074,1,1
ID_DE27AFD718,1,1
ID_E6891D3C1F,1,1
ID_FF307F65DA,1,1
ID_28A21F4554,1,1
ID_0BB0D2AE60,1,1
ID_2DCBE0E7C5,1,1
ID_2CD100257F,1,1
ID_21F588C8AF,1,1
ID_83A9163982,1,1
ID_FDBD846185,1,1
ID_654F715819,1,1
ID_DD2DBD626F,1,1
ID_420B4D02AC,1,1
ID_E1A0CEEB22,1,1
ID_026498CC7E,1,1
ID_8E0E47419F,1,1
ID_A0743B0083,1,1
ID_DFBD40412C,1,1
ID_A7C967B5FA,1,1
ID_FF7ECDE559,1,1
ID_54BB9BA620,1,1
ID_0332D69317,1,1
ID_E6FD2848EC,1,1
ID_6ABD0D8686,1,1
ID_6988700787,1,1
ID_9699ED5669,1,1
ID_F57899D81A,1,1
ID_97041A0807,1,1
ID_547F29C830,1,1
ID_9CA23B3E46,1,1
ID_F3539E8DC8,1,1
ID_44B57254CF,1,1
ID_CC55E62D1A,1,1
ID_D0761A2909,1,1
ID_F6BD8E6437,1,1
ID_234183D9C5,1,1
ID_3EE2E602F0,1,1
ID_BDA82CA136,1,1
ID_5311EF65A8,1,1
ID_310292BC83,1,1
ID_E694F1FFCB,1,1
ID_8BB403F176,1,1
ID_D27D8AA7B3,1,1
ID_54DD2AE999,1,1
ID_2E2B72C380,1,1
ID_2190646794,1,1
ID_9DF3A5E6D7,1,1
ID_901552F1D4,1,1
ID_8C023167F3,1,1
ID_80B205A60C,1,1
ID_93179938E8,1,1
ID_2A55B9FF44,1,1
ID_E8B7ED3EF8,1,1
ID_56EF3948D4,1,1
ID_CD0C3D285A,1,1
ID_E41B4292CA,1,1
ID_85F985654B,1,1
ID_3A816244FA,1,1
ID_566CA30EA5,1,1
ID_C0FBA88BBD,1,1
ID_A2F39AE73F,1,1
ID_F37A0A951A,1,1
ID_C677F28B1D,1,1
ID_9717049B45,1,1
ID_49DC95D845,1,1
ID_196DB06A31,1,1
ID_196DE26C5B,1,1
ID_7A4EFF5311,1,1
ID_76329C22FC,1,1
ID_04754FAA2E,1,1
ID_B089D5A3FF,1,1
ID_9FB4F711C6,1,1
ID_04C96A023B,1,1
ID_027A3A0D01,1,1
ID_B01F892381,1,1
ID_32B05116F2,1,1
ID_0F7DA0DD9A,1,1
ID_AF16DC8CB3,1,1
ID_59C91CE47A,1,1
ID_A27815981B,1,1
ID_F6848899A5,1,1
ID_49F18FEFE2,1,1
ID_DA13AA59D8,1,1
ID_938DC017FB,1,1
ID_194255034A,1,1
ID_083421011D,1,1
ID_53F1DC7294,1,1
ID_1FAC89DD22,1,1
ID_F859B8AFCF,1,1
ID_252E38584D,1,1
ID_498474B8EB,1,1
ID_E9576D2992,1,1
ID_F409C78862,1,1
ID_5CAAE6D2F1,1,1
ID_4D7DE606A5,1,1
ID_B357CEF640,1,1
ID_79D3AC740C,1,1
ID_A74600D60A,1,1
ID_D737733AD7,1,1
ID_09EF00A230,1,1
ID_69CF5C9E52,1,1
ID_37FA7846F8,1,1
ID_76B3E9055D,1,1
ID_09348B1ACD,1,1
ID_275D4B2B0C,1,1
ID_C26312BFCF,1,1
ID_A809102FE2,1,1
ID_4B6135F106,1,1
ID_CFB1C88770,1,1
ID_BD5E8630DC,1,1
ID_8E029FDC70,1,1
ID_F9488F3703,1,1
ID_5EC6B807EC,1,1
ID_E75DBD4CAE,1,1
ID_9C88E5CE38,1,1
ID_3C5BAE072A,1,1
ID_10E9B4D3FA,1,1
ID_60FA4340AF,1,1
ID_B0D5C70969,1,1
ID_51EF8A40B5,1,1
ID_C61FC509C0,1,1
ID_1B8BA0B6DB,1,1
ID_C2BFF2D829,1,1
ID_C9BE91F034,1,1
ID_211FF50D09,1,1
ID_319DB9183A,1,1
ID_DBCEF9DCA0,1,1
ID_F488C5FA0F,1,1
ID_A2D2E7528F,1,1
ID_C16E77A418,1,1
ID_6390A5A9D8,1,1
ID_6463DB7B2A,1,1
ID_9F7C5E0C5E,1,1
ID_FEFCE88362,1,1
ID_C2257C5339,1,1
ID_7905A343E4,1,1
ID_C4A7141BFB,1,1
ID_999E78F090,1,1
ID_82B1A3FC59,1,1
ID_CDE7AD55E4,1,1
ID_56490280E5,1,1
ID_3C17228FC4,1,1
ID_98D6ED6B3C,1,1
ID_3FFE502806,1,1
ID_8F89F25228,1,1
ID_0666F6F2C9,1,1
ID_917F77B43C,1,1
ID_172FB90330,1,1
ID_9AA0D55EB3,1,1
ID_0F75706CEE,1,1
ID_0A6905D898,1,1
ID_7109B6F2F2,1,1
ID_BBD353E5BD,1,1
ID_9D6C4FDB42,1,1
ID_C75DFF60AC,1,1
ID_2137B7882E,1,1
ID_9B3BEB4F02,1,1
ID_85E468BC8A,1,1
ID_00ABF260DA,1,1
ID_30E89F23A0,1,1
ID_7C4C2CDF87,1,1
ID_4AA11252F3,1,1
ID_E3D83070B9,1,1
ID_0EBF267C14,1,1
ID_77C53BC9E9,1,1
ID_A699693439,1,1
ID_27DD380B11,1,1
ID_C398C973C6,1,1
ID_3A147ED22B,1,1
ID_1A8B3E4193,1,1
ID_0894955C06,1,1
ID_2F88FB3077,1,1
ID_14F128AAE4,1,1
ID_7809A29BDB,1,1
ID_A5F65A4901,1,1
ID_5338DA2A11,1,1
ID_26D29C2717,1,1
ID_8A879D9128,1,1
ID_4F9A45158B,1,1
ID_BA141EADC9,1,1
ID_874FBDDDD5,1,1
ID_AC23BEC6F5,1,1
ID_BC3F711BB5,1,1
ID_8E8B92017F,1,1
